fold,horizon_steps,method,condition,ramp_direction,n,coverage,undercoverage_error,mean_width,mean_interval_score
q1_2020,1,lgbm_condition_cqr,weather_outage,down,124,0.28225806451612906,0.6177419354838709,9.629302978515625,38.15412139892578
q1_2020,1,lgbm_condition_cqr,weather_outage,up,133,0.5263157894736842,0.37368421052631584,10.478974342346191,31.69385528564453
q1_2020,1,oracle_ramp_mondrian,clean,down,124,0.8870967741935484,0.012903225806451646,19.78746795654297,24.657756805419922
q1_2020,1,oracle_ramp_mondrian,clean,up,133,0.9398496240601504,0.0,19.848934173583984,22.04971694946289
q1_2020,1,oracle_ramp_mondrian,combined_outage,down,124,0.9032258064516129,0.0,22.300254821777344,29.353994369506836
q1_2020,1,oracle_ramp_mondrian,combined_outage,up,133,0.9398496240601504,0.0,20.04940414428711,23.60982322692871
q1_2020,1,oracle_ramp_mondrian,irradiance_outage,down,124,0.8629032258064516,0.0370967741935484,19.380455017089844,25.833091735839844
q1_2020,1,oracle_ramp_mondrian,irradiance_outage,up,133,0.924812030075188,0.0,18.64825439453125,22.294944763183594
q1_2020,1,oracle_ramp_mondrian,recent_power_outage,down,124,0.8790322580645161,0.020967741935483897,20.224346160888672,30.787147521972656
q1_2020,1,oracle_ramp_mondrian,recent_power_outage,up,133,0.9548872180451128,0.0,19.594209671020508,20.79939079284668
q1_2020,1,oracle_ramp_mondrian,weather_outage,down,124,0.8790322580645161,0.020967741935483897,19.918676376342773,24.392093658447266
q1_2020,1,oracle_ramp_mondrian,weather_outage,up,133,0.9398496240601504,0.0,19.874027252197266,22.238243103027344
q1_2020,1,persistence_condition_cqr,clean,down,124,0.0,0.9,7.511064052581787,73.87998962402344
q1_2020,1,persistence_condition_cqr,clean,up,133,0.0,0.9,7.48076868057251,78.42111206054688
q1_2020,1,persistence_condition_cqr,combined_outage,down,124,0.7741935483870968,0.12580645161290327,39.17793273925781,53.581260681152344
q1_2020,1,persistence_condition_cqr,combined_outage,up,133,0.9022556390977443,0.0,31.594945907592773,36.89699935913086
q1_2020,1,persistence_condition_cqr,irradiance_outage,down,124,0.0,0.9,7.511064052581787,73.87998962402344
q1_2020,1,persistence_condition_cqr,irradiance_outage,up,133,0.0,0.9,7.48076868057251,78.42111206054688
q1_2020,1,persistence_condition_cqr,recent_power_outage,down,124,0.7741935483870968,0.12580645161290327,39.17793273925781,53.581260681152344
q1_2020,1,persistence_condition_cqr,recent_power_outage,up,133,0.9022556390977443,0.0,31.594945907592773,36.89699935913086
q1_2020,1,persistence_condition_cqr,weather_outage,down,124,0.0,0.9,7.511064052581787,73.87998962402344
q1_2020,1,persistence_condition_cqr,weather_outage,up,133,0.0,0.9,7.48076868057251,78.42111206054688
q1_2020,1,robust_condition_cqr,clean,down,124,0.5645161290322581,0.3354838709677419,10.090795516967773,37.45962142944336
q1_2020,1,robust_condition_cqr,clean,up,133,0.5413533834586466,0.35864661654135344,10.097192764282227,29.899829864501953
q1_2020,1,robust_condition_cqr,combined_outage,down,124,0.7016129032258065,0.19838709677419353,13.713955879211426,35.73835372924805
q1_2020,1,robust_condition_cqr,combined_outage,up,133,0.6390977443609023,0.26090225563909775,11.428417205810547,28.640220642089844
q1_2020,1,robust_condition_cqr,irradiance_outage,down,124,0.5645161290322581,0.3354838709677419,11.123370170593262,37.20882797241211
q1_2020,1,robust_condition_cqr,irradiance_outage,up,133,0.5037593984962406,0.3962406015037594,10.407438278198242,32.35498046875
q1_2020,1,robust_condition_cqr,recent_power_outage,down,124,0.717741935483871,0.18225806451612903,12.920019149780273,37.202369689941406
q1_2020,1,robust_condition_cqr,recent_power_outage,up,133,0.7293233082706767,0.17067669172932332,12.235138893127441,22.141958236694336
q1_2020,1,robust_condition_cqr,weather_outage,down,124,0.5403225806451613,0.35967741935483877,10.404438972473145,37.38151931762695
q1_2020,1,robust_condition_cqr,weather_outage,up,133,0.5939849624060151,0.30601503759398496,10.352509498596191,28.864728927612305
q1_2020,1,robust_local_cqr,clean,down,124,0.6370967741935484,0.26290322580645165,11.587519645690918,34.48918533325195
q1_2020,1,robust_local_cqr,clean,up,133,0.6541353383458647,0.24586466165413534,11.868796348571777,25.8741512298584
q1_2020,1,robust_local_cqr,combined_outage,down,124,0.782258064516129,0.11774193548387102,15.90934944152832,33.23640060424805
q1_2020,1,robust_local_cqr,combined_outage,up,133,0.7744360902255639,0.1255639097744361,13.717080116271973,25.28725242614746
q1_2020,1,robust_local_cqr,irradiance_outage,down,124,0.6774193548387096,0.2225806451612904,12.535683631896973,34.365543365478516
q1_2020,1,robust_local_cqr,irradiance_outage,up,133,0.6616541353383458,0.2383458646616542,12.167759895324707,28.36119270324707
